,Source Directory,Source Filename,Album,Artist,Title,Extension
119,DeepFocus,Oakwood Stories - Rainy Days.ogg,Deep Focus Radio,Oakwood Stories,Rainy Days,ogg
120,DeepFocus,Stefano Lazzarini - Aurora.ogg,Deep Focus Radio,Stefano Lazzarini,Aurora,ogg
121,DeepFocus,Stefano Lazzarini - Clear Skies.ogg,Deep Focus Radio,Stefano Lazzarini,Clear Skies,ogg
122,DeepFocus,Stefano Lazzarini - Cold Breath.ogg,Deep Focus Radio,Stefano Lazzarini,Cold Breath,ogg
123,DeepFocus,Stefano Lazzarini - When The Sun Rises.ogg,Deep Focus Radio,Stefano Lazzarini,When The Sun Rises,ogg
124,DowntownRadio,Casuality - Cemetery Blues.ogg,Downtown Radio,Casuality,Cemetery Blues,ogg
125,DowntownRadio,Casuality - Noodles Soup.ogg,Downtown Radio,Casuality,Noodles Soup,ogg
126,DowntownRadio,Casuality - Steam Boats.ogg,Downtown Radio,Casuality,Steam Boats,ogg
127,DowntownRadio,Casuality - Sunroof Breakfast.ogg,Downtown Radio,Casuality,Sunroof Breakfast,ogg
128,DowntownRadio,City Section - Approaching End Station.ogg,Downtown Radio,City Section,Approaching End Station,ogg
129,DowntownRadio,City Section - Beach Avenue.ogg,Downtown Radio,City Section,Beach Avenue,ogg
130,DowntownRadio,City Section - Neon Lights Night.ogg,Downtown Radio,City Section,Neon Lights Night,ogg
131,DowntownRadio,City Section - You Are Not Alone.ogg,Downtown Radio,City Section,You Are Not Alone,ogg
132,DowntownRadio,Shanghai Fever - Caught In A Selfie.ogg,Downtown Radio,Shanghai Fever,Caught In A Selfie,ogg
133,DowntownRadio,Shanghai Fever - Chasing Raindrops.ogg,Downtown Radio,Shanghai Fever,Chasing Raindrops,ogg
134,DowntownRadio,Shanghai Fever - Dressed For Success.ogg,Downtown Radio,Shanghai Fever,Dressed For Success,ogg
135,DowntownRadio,Shanghai Fever - Til Next Time.ogg,Downtown Radio,Shanghai Fever,Til Next Time,ogg
136,DowntownRadio,Timelines - Brooklyn Heights.ogg,Downtown Radio,Timelines,Brooklyn Heights,ogg
137,DowntownRadio,Timelines - Central Park.ogg,Downtown Radio,Timelines,Central Park,ogg
138,DowntownRadio,Timelines - Hotel Tropico.ogg,Downtown Radio,Timelines,Hotel Tropico,ogg
139,DowntownRadio,Timelines - Midnight Cruise.ogg,Downtown Radio,Timelines,Midnight Cruise,ogg
140,GoldFM,Hooked On A Feeling.ogg,Gold FM,Blue Swede,Hooked On A Feeling,ogg
141,GoldFM,Bruce Channel – Hey Baby.ogg,Gold FM,Bruce Channel,Hey Baby,ogg
142,GoldFM,Chad & Jeremy –  A Summer Song.ogg,Gold FM,Chad & Jeremy,A Summer Song,ogg
143,GoldFM,Eric Burdon - It's My Life.ogg,Gold FM,Eric Burdon,It's My Life,ogg
144,GoldFM,Etta James – At Last.ogg,Gold FM,Etta James,At Last,ogg
145,GoldFM,Etta James - Something's Gotta A Hold On Me.ogg,Gold FM,Etta James,Something's Gotta A Hold On Me,ogg
146,GoldFM,Fenwyk – Mindrocker.ogg,Gold FM,Fenwyk,Mindrocker,ogg
147,GoldFM,Jan & Dean – Dead Man's Curve.ogg,Gold FM,Jan & Dean,Dead Man's Curve,ogg
148,GoldFM,Jan & Dean – GEE.ogg,Gold FM,Jan & Dean,GEE,ogg
149,GoldFM,Jan & Dean – Surf City.ogg,Gold FM,Jan & Dean,Surf City,ogg
150,GoldFM,Spooky MARTHA REEVES.ogg,Gold FM,Martha Reeves,Spooky,ogg
151,GoldFM,Mary Wells - My Guy.ogg,Gold FM,Mary Wells,My Guy,ogg
152,GoldFM,Shirelles – Will You Love Me Tomorrow.ogg,Gold FM,Shirelles,Will You Love Me Tomorrow,ogg
153,GoldFM,The Angels – My Boyfriend's Back.ogg,Gold FM,The Angels,My Boyfriend's Back,ogg
154,GoldFM,The Drifters - Up On The Roof.ogg,Gold FM,The Drifters,Up On The Roof,ogg
155,GoldFM,The Newbeats - Mother-In-Law.ogg,Gold FM,The Newbeats,Mother-In-Law,ogg
156,GoldFM,The Vouges – Magic Town.ogg,Gold FM,The Vouges,Magic Town,ogg
157,GoldFM,Tommy James & The Shondells  – Draggin' The Line.ogg,Gold FM,Tommy James & The Shondells ,Draggin' The Line,ogg
158,GoldFM,Tommy James -  Crimson & Clover.ogg,Gold FM,Tommy James,Crimson & Clover,ogg
159,GoldFM,Tommy James – Mony Mony.ogg,Gold FM,Tommy James,Mony Mony,ogg
160,GoldFM,Troggs - Wild Thing.ogg,Gold FM,Troggs,Wild Thing,ogg
161,GoldFM,Vouges  - Five O'Clock World.ogg,Gold FM,Vouges ,Five O'Clock World,ogg
162,Jazz,Houston River Jazz Collective - 36th Street.ogg,All That Jazz,Houston River Jazz Collective,36th Street,ogg
163,Jazz,Houston River Jazz Collective - Hallet's Cove.ogg,All That Jazz,Houston River Jazz Collective,Hallet's Cove,ogg
164,Jazz,Houston River Jazz Collective - Northern Boulevard Jam.ogg,All That Jazz,Houston River Jazz Collective,Northern Boulevard Jam,ogg
165,Jazz,Houston River Jazz Collective - The Astoria Way.ogg,All That Jazz,Houston River Jazz Collective,The Astoria Way,ogg
166,Jazz,Jazz In-Clave - Bauza Chico.ogg,All That Jazz,Jazz In-Clave,Bauza Chico,ogg
167,Jazz,Jazz In-Clave - Habanera Big Four.ogg,All That Jazz,Jazz In-Clave,Habanera Big Four,ogg
